customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,is_escalated,complaint_count,tenure_days,age,churn_risk,is_high_risk
0002-ORFBO,2021-03-15,Referral,2025-03-15,Standard,Annual,,,13.99,627,12,0,keshav,India,Maharashtra,Male,1982-04-12,,0,,,,2012.0,44,low,0
0003-MKNFE,2020-08-01,Paid,2024-08-01,Premium,Annual,2024-09-10,Switched to competitor,12.99,1150,91,1,raghav,India,Karnataka,Male,1995-11-23,2024-08-28,0,10.0,1.0,2.0,1501.0,30,high,1
0004-TLHLJ,2022-11-20,Organic,2025-11-20,Basic,Monthly,,,6.99,210,34,0,lalita,India,Delhi,Female,1978-02-15,,0,,,,1397.0,48,low,0
0011-IGKFF,2019-05-10,Paid,2025-05-10,Premium,Annual,,,22.99,1725,8,0,mohan,India,Nagaland,Male,2001-08-30,,0,,,,2687.0,25,low,0
0013-EXCHZ,2023-01-05,Referral,2024-01-05,Standard,Monthly,2024-02-28,Too expensive,13.99,195,88,1,mira,India,Delhi,Female,1990-05-05,2024-01-20,0,20.0,1.0,1.0,419.0,36,high,1
0013-MHZWF,2022-06-18,Paid,2025-06-18,Standard,Annual,,,17.99,720,22,0,durga,India,Delhi,Female,1988-12-10,2025-03-18,0,90.0,0.0,1.0,1552.0,37,low,0
0013-SMEOE,2021-09-30,Referral,2024-09-30,Basic,Monthly,2024-11-15,Not enough content,8.99,230,79,1,mina,India,Meghalaya,Female,1976-09-21,2024-11-01,0,30.0,0.0,1.0,1142.0,50,high,1
0014-BMAQU,2020-02-14,Organic,2025-02-14,Premium,Annual,,,22.99,1840,5,0,madan,India,Rajasthan,Male,1999-03-14,,0,,,,2407.0,27,low,0
0015-UOCOJ,2023-07-22,Organic,2024-07-22,Standard,Monthly,,,13.99,240,34,0,maya,Nepal,Kathmandu,Female,1985-07-07,,0,,,,1153.0,41,low,0
0016-QLJIS,2022-04-03,Organic,2025-04-03,Basic,Annual,,,6.99,335,41,0,arjun,Nepal,Kathmandu,Male,1993-10-29,,0,,,,1628.0,32,low,0
0017-DINOC,2021-12-01,Organic,2025-12-01,Premium,Annual,,,22.99,1610,14,0,shiva,India,Maharashtra,Male,1997-01-22,,0,,,,1751.0,29,low,0
0017-IUDMW,2023-03-17,Referral,2024-03-17,Standard,Monthly,2024-05-01,Poor streaming quality,7.99,270,83,1,rangadevi,India,Karnataka,Female,1981-06-18,2024-04-10,0,25.0,1.0,1.0,411.0,45,high,1
0018-NYROU,2020-10-09,Organic,2025-10-09,Standard,Annual,,,13.99,980,19,0,chitra,India,Telangana,Female,2004-12-01,,0,,,,2169.0,21,low,0
0019-EFAEP,2022-08-25,Referral,2024-08-25,Basic,Monthly,2024-10-31,Switched to competitor,12.99,160,76,1,raju,India,Meghalaya,Female,1992-04-25,2024-09-27,0,30.0,1.0,1.0,798.0,34,high,1
0019-GFNTW,2019-11-11,Paid,2025-11-11,Premium,Annual,,,92.99,2185,3,0,Madhav,India,Uttar Pradesh,Male,1979-11-11,,0,,,,2502.0,46,low,0
0020-INWCK,2023-05-06,Organic,2025-05-06,Standard,Monthly,,,13.99,640,58,0,parvati,India,Delhi,Female,1986-02-28,,0,,,,1230.0,40,med,0
0020-JDNXP,2022-01-19,Organic,2024-01-19,Premium,Annual,,,20.99,550,62,0,rikim,India,Meghalaya,Female,1994-08-19,,0,,,,1702.0,32,med,0
0021-IKXGC,2021-07-07,Paid,2025-07-07,Standard,Annual,,,13.99,840,27,0,vishakha,India,Rajasthan,Female,2000-09-02,,0,,,,1898.0,26,low,0
0022-TCJCI,2023-09-14,Referral,2024-09-14,Basic,Monthly,2024-09-14,Forgot to cancel trial,16.99,42,99,1,raghvendra,India,Telangana,Male,1983-12-30,2024-09-14,0,90.0,0.0,2.0,366.0,42,high,1
0023-HGHWL,2020-06-23,Organic,2025-06-23,Premium,Annual,,,22.99,1955,7,0,rishabh,India,Uttar Pradesh,Male,1991-05-14,,0,,,,2277.0,35,low,0
0023-UYUPN,2022-12-31,Paid,2025-12-31,Standard,Monthly,,,13.99,790,47,0,sudevi,India,Maharashtra,Female,1977-10-06,,0,,,,1356.0,48,low,0
5305-YKBVC,2026-05-28,Referral,2026-07-17,Standard,Monthly,2026-07-17,No longer interested,13.56,14,68,1,Shivam Chand Pillai,India,Mizoram,Male,2000-07-30,2026-07-11,0,64.0,0.0,3.0,50.0,26,med,0
3657-QPBPB,2023-04-20,Paid,2025-03-21,Premium,Annual,2025-03-21,Too expensive,22.77,538,60,1,Karan Patil,India,Jharkhand,Male,1998-02-24,2024-08-11,0,38.0,1.0,2.0,701.0,28,med,0
1688-PQJOB,2026-03-27,Organic,2026-06-13,Standard,Monthly,2026-06-13,Poor customer support,15.67,37,5,1,Prakash Krishnan,India,Sikkim,Male,1966-12-12,2026-05-14,0,63.0,0.0,1.0,78.0,59,low,0
4911-GEUCH,2023-11-11,Paid,2026-09-26,Premium,Monthly,,,21.54,682,47,0,Rachita Raj Kohli,India,Meghalaya,Female,1971-03-16,2025-11-06,0,86.0,0.0,2.0,1041.0,55,low,0
2490-YKZCO,2026-03-04,Paid,2027-03-04,Standard,Annual,,,16.31,122,1,0,Rachita Lal Tirkey,India,Jammu and Kashmir,Female,2000-04-27,2026-08-23,0,56.0,0.0,4.0,197.0,26,low,0
0994-TIPRL,2022-11-26,Organic,2026-10-06,Standard,Monthly,,,13.34,590,15,0,Rani Gupta,India,Goa,Female,1998-03-19,,0,,,,1391.0,28,low,0
2119-TKXME,2024-05-11,Paid,2027-05-11,Basic,Annual,,,8.22,222,9,0,Kalpana Mukherjee,India,Assam,Female,1976-07-12,2026-02-03,0,45.0,1.0,1.0,859.0,50,low,0
2472-CDRAV,2022-10-29,Referral,2026-10-28,Standard,Annual,,,14.9,786,6,0,Devendra Chand Tiwari,India,Andhra Pradesh,Male,1980-02-18,2026-01-14,0,89.0,0.0,3.0,1419.0,46,low,0
7481-XUWUK,2023-12-20,Organic,2026-12-19,Basic,Annual,,,7.95,338,6,0,Shilpa Iyer,India,Manipur,Female,2002-09-04,2026-09-14,0,65.0,1.0,4.0,1002.0,24,low,0
1801-IBADC,2022-10-30,Paid,2026-10-09,Basic,Monthly,,,9.25,400,11,0,Pari Reddy,India,Tripura,Female,1986-02-01,2026-07-19,0,100.0,0.0,6.0,1418.0,40,low,0
7768-DWZMM,2022-06-17,Organic,2026-04-17,Standard,Monthly,2026-04-17,Poor customer support,14.43,660,45,1,Harish Iyer,India,Odisha,Male,1994-03-26,2024-03-03,0,29.0,1.0,2.0,1400.0,32,low,0
5926-DOANZ,2023-09-24,Organic,2024-07-25,Premium,Monthly,2024-07-25,Too expensive,24.49,247,81,1,Darshan Prasad Venkatesh,India,Goa,Male,1963-08-14,2024-07-10,0,9.0,0.0,6.0,305.0,63,high,1
3197-UVTFN,2024-08-09,Referral,2026-09-28,Standard,Monthly,,,15.27,495,53,0,Anika Kumar,India,Puducherry,Female,1977-10-30,2026-05-06,0,65.0,0.0,3.0,769.0,48,med,0
1319-FFFFQ,2022-11-03,Organic,2024-07-10,Premium,Monthly,2024-07-10,No longer interested,21.91,487,20,1,Manav Kumari Barman,India,Uttar Pradesh,Male,1990-11-01,2024-06-14,0,41.0,0.0,3.0,615.0,35,low,0
5447-CYSMT,2025-11-08,Organic,2026-03-06,Standard,Monthly,2026-03-06,Too expensive,16.98,47,64,1,Tarun Malhotra,India,Karnataka,Male,1966-12-20,2026-01-17,0,3.0,1.0,2.0,118.0,59,med,0
5741-EOAUS,2024-10-01,Paid,2026-09-21,Basic,Monthly,,,8.79,220,16,0,Chaitanya Batra,India,Sikkim,Male,1991-03-29,2025-12-12,0,54.0,0.0,2.0,716.0,35,low,0
